NOTE: this sheet should never change (right?),,,,,
Core,Treatment,Temperature,SoilVolume_cm3,CoreSleeveMass_g,SoilDryMass_g
AL 1,Drought,4,1139.9,148.9,1759.312
AL 10,Field moisture,22,1139.9,151.9,832.484
AL 12,Drought,4,1242.4,151.6,1799.938
AL 13,Drought,4,1162.7,150.9,1229.824
AL 14,Drought,4,1162.7,151.1,1666.933
AL 15,Drought,22,1048.7,149.3,1421.643
AL 16,Drought,4,1231,149,1845.275
AL 18,Drought,22,1071.5,147.7,1495.182
AL 19,Controlled drought,22,1025.9,134.7,1335.673
AL 2,Controlled drought,22,1253.8,154.8,1964.05
AL 20,Field moisture,4,1185.5,128.8,1600.397
AL 21,Drought,22,1299.4,148.4,1907.169
AL 22,Field moisture,22,1231,146.8,1461.686
AL 23,Drought,22,1162.7,129.9,1708.298
AL 24,Controlled drought,22,1162.7,132.3,1727.016
AL 25,Field moisture,4,957.5,149.6,1162.577
AL 26,Drought,4,1048.7,129.4,1726.425
AL 27,Controlled drought,22,957.5,148.2,1140.263
AL 28,Controlled drought,22,1299.4,147.2,1950.255
AL 29,Field moisture,4,1094.3,154.9,1351.708
AL 34,Field moisture,22,1185.5,147.7,1651.311
AL 36,Field moisture,4,1185.5,155.4,1486.275
AL 37,Drought,22,1094.3,148.9,1448.224
AL 38,Field moisture,22,1162.7,149.4,1567.252
AL 39,Field moisture,22,1253.8,150.9,1815.444
AL 5,Field moisture,22,1185.5,152.1,1414.568
AL 6,Controlled drought,22,1094.3,148.3,1470.014
AL 7,Field moisture,4,1139.9,133.5,1640.926
AL 8,Field moisture,4,1094.3,149.1,735.107
AL 9,Drought,22,1139.9,148.6,1385.091
Ambient22,Ambient,22,,,
Ambient4,Ambient,4,,,
