Lab_Core,Lab_ID1,DOC_mg_kg,Lab_ID2,C_percent,N_percent,Core
Core:01,8074,131,33647,0.25,0.01,AL 1
Core:02,8075,83.1,33648,0.27,0.02,AL 2
Core:03,8076,85.4,33649,0.42,0.03,AL 3
Core:05,8077,222,33650,2.42,0.11,AL 5
Core:06,8078,103,33651,0.89,0.04,AL 6
Core:07,8079,194,33652,0.31,0.02,AL 7
Core:08,8080,142,33653,5.58,0.29,AL 8
Core:09,8081,265,33654,1.38,0.05,AL 9
Core:10,8082,144,33655,4.01,0.18,AL 10
Core:11,8083,87.4,33656,1.07,0.04,AL 11
Core:11 dup,8084,106,,,,AL 11
Core:12,8085,96.6,33657,0.63,0.02,AL 12
Core:13,8086,188,33658,2.26,0.1,AL 13
Core:14,8087,175,33659,0.75,0.02,AL 14
Core:15,8088,167,33660,1.31,0.06,AL 15
Core:16,8089,111,33661,0.73,0.04,AL 16
Core:17,8090,221,33662,3.91,0.19,AL 17
Core:18,8091,175,33663,0.26,0,AL 18
Core:19,8092,214,33664,1.17,0.06,AL 19
Core:20,8093,111,33665,0.8,0.04,AL 20
Core:21,8094,96.5,33666,0.33,0.03,AL 21
Core:21 dup,8095,88.3,,,,AL 21
Core:22,8096,126,33667,1.43,0.07,AL 22
Core:23,8097,246,33668,0.25,0.02,AL 23
Core:24,8098,241,33669,0.94,0.05,AL 24
Core:25,8099,165,33670,2.07,0.1,AL 25
Core:26,8100,96.2,33671,0.22,0.01,AL 26
Core:27,8101,228,33672,1.64,0.09,AL 27
Core:28,8102,125,33673,0.32,0.01,AL 28
Core:29,8103,259,33674,1.18,0.06,AL 29
Core:31,8104,112,33675,1.86,0.09,AL 31
Core:33,8105,111,33676,0.39,0.01,AL 33
Core:33 dup,8106,106,,,,AL 33
Core:34,8107,194,33677,0.44,0.03,AL 34
Core:35,8108,129,33678,0.98,0.06,AL 35
Core:36,8109,115,33679,0.57,0.03,AL 36
Core:37,8110,112,33680,0.8,0.05,AL 37
Core:38,8111,184,33681,0.86,0.04,AL 38
Core:39,8112,228,33682,0.32,0.01,AL 39
Core:39 dup,8113,227,,,,AL 39
